name,DMS - Bo,DMS - Bombali,DMS - Bonthe,DMS - Kailahun,DMS - Kambia,DMS - Kenema,DMS - Koinadugu,DMS - Kono,DMS - Moyamba,DMS - Port Loko,DMS - Pujehun,DMS - Tonkolili,DMS - Western Area,DMS - Falaba,DMS - Karene,Hosp - Bo,Hosp - Bombali Makeni,Hosp - Bombali Kamakwie,Hosp - Bonthe,Hosp - Bonthe Mattru,Hosp - Kailahun,Hosp - Kailahun Nixon,Hosp - Kambia,Hosp - Kenema,Hosp - Kenema Panguma,Hosp - Koinadugu Kabala,Hosp - Kono Koidu,Hosp - Moyamba,Hosp - Port Loko,Hosp - Port Loko Lungi,Hosp - Pujehun,Hosp - Tonkolili Magburaka,Hosp - Tonkolili Masanga,Hosp - 34 Military,Hosp - Connaught,Hosp - Emergency,Hosp - Kingharman,Hosp - Lumley,Hosp - Macauley St,Hosp - Ola During,Hosp - PCMH,Hosp - Rokupa,Hosp - Lakka,Hosp - Sierra Leone Psychiatric,product
" Needle, Hypodermic, Luer, 23G, Sterile, Disposable, Pcs ",0,2100,200,3400,12000,10900,800,1100,0,1100,28500,200,16100,400,1400,200,0,0,10000,10000,14100,14100,43500,3600,3600,0,0,0,0,0,4600,0,0,0,,0,0,0,0,0,0,0,0,0,
" Needle, Spinal, 90mm, 22G, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,200,200,0,0,
" Oral Rehydration Salts (ORS), Sachet ",42800,29300,18300,21900,21000,47400,22800,22800,33900,32500,23800,36800,29600,12800,14800,27900,0,0,2900,2900,1800,1800,5300,1600,1600,4200,0,7100,2600,2600,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,58
" Oxytocin 10IU, Inj, Amp ",2670,8280,2380,5340,2540,7970,2130,9610,2670,8620,3430,2730,12080,350,4790,0,0,0,0,0,550,550,980,1370,1370,0,0,1240,420,420,470,0,0,0,0,0,0,0,0,0,0,0,0,0,59
" Paracetamol (Acetaminophen) 250mg, Dispersible, Tab ",186300,219200,136100,35100,184800,289200,177200,126900,118400,437900,259300,133300,433600,87200,156900,20000,0,0,5000,5000,25000,25000,50000,51600,51600,34400,0,32700,19600,19600,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,60
" Salbutamol 100mcg/dose, Aerosol, Inhaler ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,68
" Silver Sulphadiazine 1%, Cream, 50g, Tube ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Sodium Chloride (Normal Saline) 0.9%, IV Inj, 500ml, Bot ",4960,4960,2260,4720,1640,8740,2040,2200,940,3800,3040,2620,20300,320,2620,1880,0,0,500,500,1220,1220,12980,4140,4140,520,0,0,780,780,560,0,0,0,0,0,0,0,0,,,0,0,0,
" Syringe, Luer, 10ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
" Syringe, Luer, 20ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,76
" Syringe, Luer, 2ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,77
" Syringe, Luer, 5ml, Disposable, Pcs ",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,
" Thiopental Sodium 500mg, Pdr for Inj, Vial ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,100,100,300,300,300,125,125,87,0,103,103,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Vitamin K (Phytomenadione) 10mg/ml, Inj ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,
" Zinc Sulphate 20mg, Dispersible, Tab ",50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,
" Box, Double-wall Carton, 60x40x25cm, Pcs ",560,308,312,332,268,492,180,372,416,384,336,408,396,168,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" (Syringe, AutoDestruct, SoloShot) ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Condom, Female ",1000,0,0,1000,0,3000,0,1000,0,1000,1000,1000,2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Condom, Male ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Copper-Containing Device (Copper T or Copper 7 or IUD),,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Depot Medroxyprogestrone Acetate (Depo-Provera) 150mg/ml, Pdr for Inj ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Implant (Jadelle) 150mg, One or Two Rod ",6000,1000,2000,1000,2000,0,3000,3000,6000,2000,3000,6000,10000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Implant (Levoplant), Two Rod ",2000,2000,1000,1000,1000,3000,1000,1000,1000,2000,1000,1000,4000,1000,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Trocar, Contraceptive Implant ",2000,2000,1000,1000,1000,3000,1000,1000,1000,2000,1000,1000,4000,1000,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Ethinylestradiol& Levonorgestrel& Ferrous Fumerate (Zinnia-F), 30mcg&150mcg&75mg ",3024,3024,2016,2016,2016,4032,2016,3024,2016,3024,2016,2016,4032,2016,2016,150,0,0,0,0,0,0,0,180,180,0,0,120,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Levonorgestrel (Emergency Contraceptive) 0.75 2tabs/1.5mg, Tab ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Progesterone-Only (Levonorgestrel & Microlut) 30mcg, Tab, Cycle ",3600,2880,0,2160,0,2880,1440,3600,2880,2160,2880,2880,5760,1440,1440,0,0,0,900,900,0,0,0,,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Catheter, Foley Balloon, 18FR/CH, 2-Way, 10ml, Sterile, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,90,90,100,100,190,230,230,160,0,190,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,
" Gauze, Paraffin, 10cm x 10cm, Sterile, Pcs ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
" Glove, Surgical, Size 7, Sterile, Disposable, Pair ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,
" Mebendazole 100mg, Tab ",6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,4000,4000,4000,4000,4000,4000,4000,,
" Suture, Synth abs (polyglycolic acid), 20, 75cm, 1/2 circle 30mm roundbodied nee ",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,,1800,1800,1800,,
" Gentamycin 80mg/2ml, Inj ",2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,,500,500,500,,
" Gauze, Compress, 10cm x 10cm, Roll ",3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
" Tube, Feeding (Nasogastric, NG), 12FG, Disposable ",,,,,,,,,,,,,,0,0,4000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,
